id,node_name_long,node_name,node_folder_id,lat,lng,height_above_ground,height_above_sea,deployed,datetime,co_ppm,co_ppm_QC_level,co2_ppm,co2_ppm_QC_level,o3_ppm,o3_ppm_QC_level,PM_2.5_ug/m3,PM_2.5_ug/m3_QC_level,groups
1,Stone Edge Farms (Vineyard),vineyard,116,38.291,-122.506,3.000000,57.940933,2015-02-02,2016-02-13 21:00:00,-999,1,-999,1,-999,1,2.32284,1,['Sonoma']
2,Stone Edge Farms (Turbine),turbine,161,38.289,-122.503,3.000000,54.551334,2015-02-02,2018-07-31 21:00:00,-999,1,408.01804636867274,1a,-999,1,1.2178,1,['Sonoma']
3,Piedmont High School,PHS,983,37.824,-122.233,10.000000,91.290054,2013-05-09,2024-06-09 21:00:00,-999,1,425.0884987365685,1a,-999,1,1.375876788354016,1a,"['Alameda', ""Oakland - Yishu's subnetwork""]"
4,Montclair Elementary School,montclair2,1033,37.831,-122.213,4.000000,185.787262,2013-05-08,2024-06-09 21:00:00,-999,1,427.6824164350603,1a,-999,1,-999,1,"['Alameda', ""Oakland - Yishu's subnetwork""]"
5,Port of Oakland,port,158,37.796,-122.279,32.000000,3.464535,2013-03-14,2016-12-22 21:00:00,-999,1,450.51479248730243,1a,-999,1,-999,1,['Alameda']
7,Skyline High School,skyline,649,37.798,-122.161,3.000000,348.402222,2012-04-06,2019-03-15 17:00:00,-999,1,-999,1,-999,1,-999,1,['Alameda']
8,Lighthouse Charter School,lighthouse,1034,37.736,-122.196,7.823200,4.043230,2012-12-13,2024-06-09 21:00:00,-999,1,-999,1,-999,1,1.55107,1,"['Alameda', ""Oakland - Yishu's subnetwork""]"
9,Berkeley Marina 3,marina,274,37.863,-122.314,2.000000,2.643130,2017-01-26,2017-11-22 04:00:00,0.5256776960808704,1a,546.924470230665,1a,-999,1,-999,1,['Alameda']
10,Bethel Island,bethel,121,38.006,-121.642,3.000000,-1.495771,2016-12-01,2018-09-07 13:00:00,-999,1,-999,1,-999,1,-999,1,['ContraCosta']
11,Bay Area Metro Center,Beale Street,998,37.788,-122.392,42.000000,4.921234,2017-06-06,2024-02-16 08:00:00,-999,1,467.3587855474074,1a,-999,1,8.526539501670332,1a,"['SanFrancisco', ""SF Nodes - Anna's Subnetwork""]"
12,Riverside Elementary School,riverside,94,37.952,-122.327,3.000000,19.189966,2017-06-13,2017-06-13 11:00:00,-999,1,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond']"
13,Richmond High School,richmondhs,1238,37.953,-122.347,6.000000,21.040581,2017-06-13,2024-05-24 05:00:00,-999,1,-999,1,-999,1,5.82816,1,"['ContraCosta', 'Richmond', ""Richmond 1 - Naomi's Subnetwork""]"
14,Helms Middle School,Helms,1239,37.963,-122.338,6.000000,19.189966,2017-06-13,2024-06-09 21:00:00,-999,1,424.59051769967,1a,-999,1,5.249153387847812,1a,"['ContraCosta', 'Richmond', ""Richmond 1 - Naomi's Subnetwork""]"
15,Ohlone Elementary School,ohlone,1228,38.008,-122.273,3.000000,25.881994,2017-06-14,2024-06-09 20:00:00,-999,1,426.7741532120797,1a,-999,1,7.553397639754119,1a,"['ContraCosta', 'Richmond']"
16,Ellerhorst Elementary School,ellerhorst,1224,37.982,-122.273,3.000000,33.978230,2017-06-14,2024-06-09 21:00:00,-999,1,424.4851430420848,1a,-999,1,6.982476096258469,1a,"['ContraCosta', 'Richmond']"
17,Stewart Elementary School,stewart,1268,37.990,-122.291,3.000000,59.361778,2017-06-14,2024-05-28 12:00:00,-999,1,-999,1,-999,1,0.65133,1,"['ContraCosta', 'Richmond']"
18,Pinole Middle School,pinole,45,37.997,-122.303,7.800000,74.900185,2017-06-14,2017-06-09 08:00:00,-999,1,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond']"
19,Crespi Middle School,crespi,821,37.986,-122.308,3.000000,82.265877,2017-06-14,2020-01-17 09:00:00,-999,1,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond']"
20,Nystrom Elementary School,nystrom,1232,37.928,-122.359,9.538000,5.776453,2017-06-15,2024-06-09 21:00:00,-999,1,427.0172468756342,1a,-999,1,2.6238106608076,1a,"['ContraCosta', 'Richmond', ""Richmond 1 - Naomi's Subnetwork""]"
21,Washington Elementary School,washington,1233,37.925,-122.381,5.111000,2.941970,2017-06-15,2024-06-09 21:00:00,-999,1,451.08535978001197,1a,-999,1,2.169146204245379,1a,"['ContraCosta', 'Richmond', ""Richmond 1 - Naomi's Subnetwork""]"
22,Dejean Middle School,dejean,1231,37.934,-122.338,5.008000,17.409231,2017-06-15,2024-06-09 21:00:00,-999,1,428.09394169639046,1a,-999,1,5.886481556604588,1a,"['ContraCosta', 'Richmond', ""Richmond 1 - Naomi's Subnetwork""]"
23,Mira Vista Elementary School,miravista,1223,37.941,-122.314,4.010000,100.035240,2017-06-15,2024-06-09 21:00:00,-999,1,425.15107371396505,1a,-999,1,4.83688,1,"['ContraCosta', 'Richmond']"
24,Madera Elementary School,madera,1222,37.928,-122.299,9.106000,206.726608,2017-06-15,2024-06-09 21:00:00,-999,1,427.6693952459126,1a,-999,1,6.709320001920903,1a,['ContraCosta']
25,Fred T. Korematsu (Portola) Middle School,Korematsu (El Cerrito),1240,37.920,-122.306,5.371000,41.042336,2017-06-15,2024-06-09 21:00:00,-999,1,423.7811326648028,1a,-999,1,7.004249967874837,1a,"['ContraCosta', ""Richmond 1 - Naomi's Subnetwork""]"
26,Peres Elementary School,peres,1234,37.940,-122.365,6.264000,6.107825,2017-06-16,2024-06-09 21:00:00,-999,1,-999,1,-999,1,0.0,1a,"['ContraCosta', 'Richmond', ""Richmond 1 - Naomi's Subnetwork""]"
27,Lupine Hills Elementary School,hercules,166,38.008,-122.253,6.700000,45.144012,2017-06-16,2018-07-10 15:00:00,-999,1,-999,1,-999,1,-999,1,"['ContraCosta', 'Richmond']"
28,Collins Elementary School,collins,1226,38.002,-122.289,3.000000,9.618982,2017-06-16,2024-06-09 21:00:00,-999,1,433.06221347329995,1a,-999,1,7.284457643397766,1a,"['ContraCosta', 'Richmond']"
29,Montalvin Elementary School,montalvin,1230,37.995,-122.335,5.033000,29.129711,2017-06-16,2024-06-09 21:00:00,-999,1,421.44386057138604,1a,-999,1,5.481535517238989,1a,"['ContraCosta', 'Richmond']"
30,Sheldon Elementary School,sheldon,1225,37.967,-122.298,4.000000,39.155693,2017-06-16,2024-06-09 21:00:00,-999,1,422.85132313214115,1a,-999,1,-999,1,"['ContraCosta', 'Richmond']"
