node_id,Built_Area_area_50m,Rangeland_area_50m,Trees_area_50m,Water_area_50m,Bare_Ground_area_50m,Crops_area_50m,Flooded_Vegetation_area_50m,Built_Area_area_100m,Rangeland_area_100m,Trees_area_100m,Water_area_100m,Bare_Ground_area_100m,Crops_area_100m,Flooded_Vegetation_area_100m,Built_Area_area_200m,Rangeland_area_200m,Trees_area_200m,Water_area_200m,Bare_Ground_area_200m,Crops_area_200m,Flooded_Vegetation_area_200m,Built_Area_area_300m,Rangeland_area_300m,Trees_area_300m,Water_area_300m,Bare_Ground_area_300m,Crops_area_300m,Flooded_Vegetation_area_300m,Built_Area_area_500m,Crops_area_500m,Flooded_Vegetation_area_500m,Rangeland_area_500m,Trees_area_500m,Water_area_500m,Bare_Ground_area_500m,Bare_Ground_area_1000m,Built_Area_area_1000m,Crops_area_1000m,Flooded_Vegetation_area_1000m,Rangeland_area_1000m,Trees_area_1000m,Water_area_1000m,Bare_Ground_area_2000m,Built_Area_area_2000m,Crops_area_2000m,Flooded_Vegetation_area_2000m,Rangeland_area_2000m,Trees_area_2000m,Water_area_2000m,Bare_Ground_area_3000m,Built_Area_area_3000m,Crops_area_3000m,Flooded_Vegetation_area_3000m,Rangeland_area_3000m,Trees_area_3000m,Water_area_3000m,Bare_Ground_area_4000m,Built_Area_area_4000m,Crops_area_4000m,Flooded_Vegetation_area_4000m,Rangeland_area_4000m,Trees_area_4000m,Water_area_4000m,Bare_Ground_area_5000m,Built_Area_area_5000m,Crops_area_5000m,Flooded_Vegetation_area_5000m,Rangeland_area_5000m,Trees_area_5000m,Water_area_5000m,Industrial_area_50m,Industrial_area_100m,Industrial_area_200m,Industrial_area_300m,Industrial_area_500m,Industrial_area_1000m,Industrial_area_2000m,Industrial_area_3000m,Industrial_area_4000m,Industrial_area_5000m,total_AADT_50m,total_AADT_100m,total_AADT_200m,total_AADT_300m,total_AADT_500m,total_AADT_1000m,total_AADT_2000m,total_AADT_3000m,total_AADT_4000m,total_AADT_5000m,total_road_length_50m,total_road_length_100m,total_road_length_200m,total_road_length_300m,total_road_length_500m,total_road_length_1000m,total_road_length_2000m,total_road_length_3000m,total_road_length_4000m,total_road_length_5000m,avg_ndvi_50m,avg_ndvi_100m,avg_ndvi_200m,avg_ndvi_300m,avg_ndvi_500m,avg_ndvi_1000m,avg_ndvi_2000m,avg_ndvi_3000m,avg_ndvi_4000m,avg_ndvi_5000m,avg_pop_dens_50m,avg_pop_dens_100m,avg_pop_dens_200m,avg_pop_dens_300m,avg_pop_dens_500m,avg_pop_dens_1000m,avg_pop_dens_2000m,avg_pop_dens_3000m,avg_pop_dens_4000m,avg_pop_dens_5000m
1,7841.371226305781,0.0,0.0,0.0,0,0,0,31365.484905332247,0.0,0.0,0.0,0,0,0,125461.9396219458,0.0,0.0,0.0,0,0,0,282289.3641502466,0.0,0.0,0.0,0,0,0,678968.3783046497,94337.24297256164,0.0,6297.444745663349,4534.059080066831,0.0,0,0.0,1684326.2590650972,1148227.0938998873,0.0,282494.70556277514,21500.424750880244,0.0,1469.7363875111923,4868113.276452766,4327997.151691174,0.0,2549019.379007782,764610.1227355654,34984.35313748375,1901.4407690090936,10242634.075600388,8224121.596601693,0.0,5776066.520907284,3935176.5091373287,49037.00878402219,4803.622563001508,19290034.087063584,10889855.300613647,0.0,11668113.225407276,8274525.885332593,57443.399980226866,5849.360571029459,27758623.856821824,16519504.557735277,0.0,18188665.58812812,15834786.502488753,106280.26152251434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32018.801912306335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77600.0,155200.0,497400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3846.5551963314865,10131.310884974993,24770.12539420968,0.19011354573775638,0.23150147279281558,0.24287850880988704,0.2493412889507202,0.2530282117025122,0.2472036272806156,0.2560609697722661,0.2699352201024201,0.26710231336697604,0.2715984270111906,169.4,169.4,169.4,169.4,169.4,169.4,463.604819882449,700.4637797351246,729.7418065215483,709.1631570971459
2,7841.371226229483,0.0,0.0,0.0,0,0,0,31365.484905476642,0.0,0.0,0.0,0,0,0,125461.93962223342,0.0,0.0,0.0,0,0,0,282289.3641484991,0.0,0.0,0.0,0,0,0,675716.1458005413,83085.65017584137,0.0,25335.330313439466,0.0,0.0,0,0.0,1768466.2215527797,1170975.2076651196,0.0,181695.42732811233,15411.634509697016,0.0,0.0,5116966.147972468,5123503.908348818,0.0,1951395.4823486425,326580.54558201495,27748.070077199125,1901.4407690090936,10456828.719826436,8928543.684463799,0.0,5718934.476429064,3073692.189011825,49037.00878402219,5018.30178050046,19313332.69731519,11895960.978721041,0.0,11491713.502695283,7421305.06848817,57443.399980226866,5303.9952279558365,28587292.804053556,17611126.08957024,0.0,17755437.79747534,14349869.675169362,104679.05337484457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61975.8280521501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77600.0,242000.0,497400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4584.410796728336,13849.431648877991,26532.33996585339,0.24676947494230003,0.2602507539219326,0.26132649424787613,0.2469485326552185,0.24784960705535383,0.2426207794500699,0.24907320248283774,0.2633615497722404,0.2625134681618248,0.26747193885646464,169.4,169.4,169.4,169.4,169.4,169.4,512.9775437709861,720.4573899914521,765.6293565850899,724.8314411604243
3,7841.37122617598,0.0,0.0,0.0,0,0,0,31365.484905389007,0.0,0.0,0.0,0,0,0,125461.93962169321,0.0,0.0,0.0,0,0,0,282289.3641491648,0.0,0.0,0.0,0,0,0,784137.1226366307,0.0,0.0,0.0,0.0,0.0,0,0.0,3099757.4840063653,0.0,0.0,35289.961108328076,1501.0319047394655,0.0,0.0,12024580.797466375,0.0,0.0,497896.7097376594,8505.87029900072,15210.524005556963,28214.109276819974,26954988.717127,0.0,0.0,687010.6802246049,288700.2044085155,270022.43296757113,40127.4968286749,47672234.11533781,0.0,0.0,770630.875714032,1033505.7822575752,668275.0323156714,84943.85174287675,67249440.80637424,0.0,0.0,2440929.242622248,7176980.364797748,1461410.9017942094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14285.152472499236,0.0,0.0,0.0,0.0,0.0,0.0,1646000.0,5738000.0,10672800.0,19958200.0,0.0,0.0,0.0,0.0,0.0,0.0,15872.40706126909,50502.31833224696,90393.04460734996,149547.3530819898,0.14894265283578362,0.12504137785118857,0.17896033984379034,0.19484071016029011,0.19737064676095076,0.1996086581514136,0.1921703119456,0.1738684848118887,0.1656739657672143,0.16460089521754795,8523.775660245794,8090.715026954929,7406.50557197631,6988.466230776664,6744.208667191133,7002.34045376173,8425.71870103065,9922.838394609818,10501.147835132557,10160.84522914298
4,7841.371226244163,0.0,0.0,0.0,0,0,0,31365.48490547408,0.0,0.0,0.0,0,0,0,125461.93962193951,0.0,0.0,0.0,0,0,0,282289.3641495983,0.0,0.0,0.0,0,0,0,784137.1226356662,0.0,0.0,0.0,0.0,0.0,0,0.0,3116011.1041297726,0.0,0.0,0.0,20537.409445864698,0.0,0.0,12187685.125632316,0.0,0.0,158333.46606995532,200074.95955056857,100.06837788031,40127.4968286749,22823090.974916354,0.0,0.0,1021381.9630437405,4294166.553836829,50167.352653973365,94064.20771549261,36171077.753215104,0.0,0.0,3328206.772231112,10516370.392692184,75051.56285377743,101169.01158356067,53300116.583364606,0.0,0.0,6804014.665252705,17802160.012673132,406248.7388924504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280000.0,280000.0,844000.0,3672000.0,10046000.0,13948600.0,0.0,0.0,906.7136089586326,2007.5127034767165,3789.4313836006518,7903.221978933833,15969.927138348543,30807.639331603263,69572.27482460218,103630.83751604467,0.1803911046853596,0.20837416708160053,0.1909026806276969,0.197530569080309,0.20654404472509744,0.2199978949662242,0.223881005718609,0.22859108392047492,0.22039564552105256,0.2131202572461977,5208.8,5208.8,5179.744961269854,4934.744803365418,4677.358738644206,4494.435918901172,4269.319433214166,4436.773639321647,5443.439375441135,6707.038196250445
5,7841.37122633372,0.0,0.0,0.0,0,0,0,30871.253151763998,0.0,0.0,494.23176943091033,0,0,0,104288.25112298664,0.0,0.0,21173.688575420067,0,0,0,221011.04201057594,0.0,0.0,61278.32243566187,0,0,0,570104.6556511406,0.0,0.0,0.0,0.0,214032.4691407595,0,0.0,2537635.7038648003,0.0,0.0,0.0,0.0,598912.8104275416,5303.686560685014,10678807.738126246,0.0,0.0,15310.740063110045,0.0,1846771.742426005,92581.00609413286,24418975.081068806,0.0,0.0,112377.17096590345,0.0,3605004.7773425383,1002834.5088466742,40250270.87575413,0.0,0.0,885983.287487144,300.2132590544693,8045386.787870558,1217214.3443754807,55562690.59687,0.0,3502.472127435356,2041251.6888957887,300.2132590544693,19588751.318598494,0.0,0.0,6825.338052726718,32767.221251844465,136216.26782330463,332610.77772922267,1196719.8846688315,2650928.4319872055,6164379.367946743,7071029.408675433,0.0,0.0,0.0,0.0,800000.0,1920000.0,4460000.0,7421200.0,16890600.0,23053600.0,0.0,0.0,0.0,0.0,4781.58014423486,16462.377885139478,34164.84168916527,59005.39444145056,108197.60521367112,143981.56106837242,0.053233197970503056,0.046192039666836694,0.03837240603884297,0.030965318760681627,0.024616663195007268,0.03789553355173869,0.06450022698427572,0.06721163584855112,0.06457792489955387,0.05879528722539075,4367.8,4367.8,4367.8,4273.055169738758,3940.9415345699636,6489.260051731694,8539.687991880002,9947.623736465386,9597.463507437433,8902.308490534671
7,7841.371226234034,0.0,0.0,0.0,0,0,0,31365.484905584988,0.0,0.0,0.0,0,0,0,112856.2526645966,0.0,12605.686902059357,0.0,0,0,0,210322.88787445644,0.0,71966.47612430295,0.0,0,0,0,506140.15230012866,0.0,0.0,0.0,277996.97016843763,0.0,0,0.0,1736339.8724026068,0.0,0.0,76050.59256755377,1324158.0425223163,0.0,0.0,4814119.742167451,0.0,0.0,838296.4686827172,6893778.117199736,0.0,0.0,11480630.460609006,0.0,0.0,1559252.8126835136,14906669.402999302,282383.62121019216,62881.22669224399,22114811.4537993,1100.8442258614632,0.0,4185626.1889931816,23029885.006118715,790472.136584286,75850.05345476532,40055049.757277586,19913.019406014137,0.0,7933822.970596347,28873458.164113253,1455614.8290039054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201000.0,3218000.0,5282000.0,7287800.0,0.0,0.0,0.0,0.0,0.0,0.0,3170.4202273858123,27010.596890549386,42822.019100410536,69447.99585236034,0.1574274935267747,0.14402427772221865,0.18305419176236676,0.21574907627809572,0.250939014471659,0.2604562702154798,0.2647326279866512,0.25465417285971004,0.2409006707587222,0.23228964177481917,1945.1,1945.1,1912.1907130828781,1618.2681031811658,1410.9740692648877,1274.613035751939,1301.9503420192787,2311.5475573961476,3296.7118885948216,4227.938978004034
8,7841.371226413457,0.0,0.0,0.0,0,0,0,31365.484905444668,0.0,0.0,0.0,0,0,0,125461.93962192946,0.0,0.0,0.0,0,0,0,282289.3641489821,0.0,0.0,0.0,0,0,0,784137.1226378467,0.0,0.0,0.0,0.0,0.0,0,0.0,3036694.741843395,0.0,0.0,76289.08908229372,7163.154466872201,16401.492947596056,0.0,10993083.964566752,5003.394399642973,101336.5812326013,762624.9946806915,51835.237717400916,632309.7502510084,600.4106654583172,23729990.770673845,304929.4701456373,123684.30135285326,1844848.4139329407,77953.10563117784,2146929.9242324694,447981.9378708678,40442353.12768195,393368.1841157547,124785.05701685061,4136465.905143939,79654.26996514709,4560170.35634312,735004.0235692526,60913079.677985705,395969.908930018,124785.05701685061,5622893.001689888,235098.52839730654,10386879.313931957,0.0,0.0,0.0,0.0,5359.125237616431,273253.29428709653,4041747.150796648,9659090.629880777,14632038.554603001,17968743.113461748,0.0,0.0,0.0,0.0,0.0,1668000.0,1849200.0,3996800.0,5436600.0,8673000.0,0.0,0.0,0.0,1127.8099286547354,3399.3217735857133,7720.133156678943,27789.901279249396,77493.84193688375,111336.320534984,150799.38488677383,0.08041829122703834,0.08868660231069997,0.08589468080106298,0.08189216160808904,0.09215637911758479,0.08196708980808605,0.08540308120865352,0.09235005926011934,0.09366065447330466,0.0912135217630243,747.1,747.1,747.1,747.1,747.1,972.4285651115771,4065.70074904068,5742.521464805043,6857.453532454304,6911.007065217636
9,5223.941384594021,0.0,0.0,2617.429842253611,0,0,0,18665.31739591274,0.0,0.0,12700.167513730396,0,0,0,67362.83493998736,0.0,0.0,58099.10463332454,0,0,0,121770.71804640479,0.0,0.0,160518.64603107265,0,0,0,196080.24711165452,0.0,0.0,11312.872659911453,5086.1100443558325,571657.8894923202,0,0.0,465012.91301632335,100.0710954570443,0.0,322855.0651633593,39327.88732491936,2309252.532056171,0.0,3027394.1944417846,100.0710954570443,0.0,709003.3570876893,39327.88732491936,8770368.570570452,41629.570665504376,9609588.419432783,100.0710954570443,0.0,879513.593113787,39327.88732491936,17658776.10668496,41629.570665504376,18969039.68194265,100.0710954570443,4102.897342443594,1029356.0492570634,56239.860010389464,30084308.814319234,43230.71426741508,33713464.41614611,100.0710954570443,4102.897342443594,1420152.8843026788,56239.860010389464,43176419.920814395,0.0,0.0,0.0,0.0,0.0,0.0,708163.4160476602,1413782.582684273,1495547.4810591552,3000893.924327708,0.0,0.0,0.0,0.0,0.0,968000.0,1956000.0,5218800.0,7640800.0,16615800.0,0.0,0.0,0.0,0.0,0.0,2509.7957626694097,17593.77154297824,51117.45990173697,79769.52319832443,123864.64057013478,0.06767645963261139,0.06139481139266696,0.0652860502876474,0.056801334942633216,0.01849821186375843,0.023244199088069777,0.007006688357894709,0.017319331363509577,0.025571754281769787,0.032891342429377766,2391.8,2391.8,2391.8,2391.8,2391.8,2391.8,2669.9087671213456,4391.046514359513,5529.159919428999,5999.584863784581
11,7841.371226250176,0.0,0.0,0.0,0,0,0,31365.484905504138,0.0,0.0,0.0,0,0,0,125461.93962205801,0.0,0.0,0.0,0,0,0,282289.36414909293,0.0,0.0,0.0,0,0,0,739852.8500630928,0.0,0.0,0.0,0.0,44284.272607483676,0,0.0,2128446.7301899293,0.0,0.0,0.0,0.0,1008101.760161093,0.0,6766956.0037827175,0.0,0.0,2001.4582086824407,0.0,5777236.567919616,0.0,13924960.3563497,0.0,0.0,2001.4582086824407,0.0,14301974.084424328,4203.03831589691,23444811.006479464,0.0,0.0,69739.75979719571,0.0,26666020.631906148,4203.03831589691,35031054.437126696,0.0,0.0,171572.96677676344,90535.13375955261,43116344.431277215,0.0,0.0,0.0,1179.211259484735,57185.65096830869,181322.35008221856,580494.4517770829,1464565.8193477625,2328255.389263705,4418140.65618249,0.0,0.0,0.0,0.0,1086000.0,1086000.0,1560000.0,6274200.0,9066400.0,10559400.0,0.0,0.0,0.0,1317.0162085523993,2830.6960479765708,5940.398725068531,13043.823054457976,35842.56607769484,52859.34700601573,67636.11734757002,0.06396696539161786,0.05600147590522894,0.05322406770716466,0.05357592623330234,0.05122924805799656,0.026890496358473227,0.015350840194839723,0.009831222483089956,0.011726881491040942,0.012707754899924546,102136.4,101839.43699189376,83703.2225054128,65034.224215057024,41671.76633505061,23278.67222781049,21796.118339531113,19165.439569141396,16087.02976447305,13460.490912651076
12,7841.371226532316,0.0,0.0,0.0,0,0,0,31365.48490537803,0.0,0.0,0.0,0,0,0,125461.93962153253,0.0,0.0,0.0,0,0,0,282289.3641490699,0.0,0.0,0.0,0,0,0,767481.5264305287,0.0,0.0,0.0,16655.59561792012,0.0,0,0.0,2941760.1123198005,0.0,0.0,70233.13640801923,124555.22175742777,0.0,0.0,10792280.628255012,0.0,0.0,1075873.1048773704,678040.0879049749,0.0,0.0,23288194.443780545,7205.121842914474,0.0,2822487.0836074683,2107847.7084169453,3202.2796247123733,0.0,41504201.40219749,7205.121842914474,0.0,5130046.94899661,3514801.804982511,28520.336630657854,3602.5984991437463,61961123.30623615,164705.78822222285,18413.26782562233,9354933.391082665,5732728.603948038,1178205.7885852905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364311.4940337083,3164799.349261672,7332631.291958794,0.0,0.0,0.0,0.0,734000.0,2216000.0,3702000.0,5202000.0,8350200.0,9800200.0,79.3086375259486,665.1064063175145,1532.9295222922462,2350.108141493621,3962.076603389949,8126.839506374956,18581.73824275738,30193.76920482435,60469.09690626047,100483.41268234316,0.09526876025932679,0.10914023889881612,0.1427069988663034,0.15091393604718478,0.15255546668416797,0.1637679770663077,0.17204155137689267,0.17837608893248474,0.17852315089709184,0.17802136688409165,4871.6,5653.15841025811,6680.686754876578,7056.9271603695015,7660.247258221364,8279.131547047502,8204.278939492244,8344.67110763926,7145.344932998382,5832.300374012963
